발화자,발화문,인텐트
c,두개 주문했는데 사이즈 하나를 잘못 주문했어요 바꿀수잇나유?,구매 목록
s,죄송하지만 12일 오후 1시30분 이후에 결제가 완료되어 이미 어제 오전에 출고가 완료되었어요.,구매 목록
c,"부족하단 연락을 상품 불량으로 재고가 받았습니다. 혹시 불량 문제가 크지 않다면 그래도 사고 싶은데, 가능할까요?",구매 목록
s,불량 부분으로 상품 입고 자체가 이루어지지 않아 배송까지 어려운 점 양해 부탁드려요.,구매 목록
c,방송에서 조건이 다른 가요?,구매 목록
s,당사에서 제공하는 혜택은 동일하나 카드사 프로모션에 의해 약간의 변동 있을수 있어요.,구매 목록
c,왜 갑자기 주문 취소되는 거죠?,구매 목록
s,않아 답변을 정보가 확인되지 드릴수가 없습니다. 아마시스템적으로 미발송 건에 대해서 자동으로 취소 진행된 것으로 보입니다.,구매 목록
c,뉴욕 블랙 품절됐다고 문자 왔는데 19번 베케이션 블랙으로 보내주실 순 없음?,구매 목록
s,베 케이션 블랙으로 변경도와 드렸어요.,구매 목록
c,색상 변경 가능할까요?,구매 목록
s,죄송하시만 오전에 상품포장이 완료 출고되어 변경이 어렵습니다.,구매 목록
c,화면에 보이는 블랙 색상 주문 가능한 거 맞죠?,구매 목록
s,현재 해당 페이지에서 블랙 오렌지 중 옵션 선택 가능하시며 블랙으로 주문 시 블랙으로 출고해 드리고 있어요.,구매 목록
c,구매는. 안 되는 건가요?,구매 목록
s,세트 상품으로 사이즈별도 선택은 어려우 신점 안내해드립니다.,구매 목록
c,품절이 됫는데 처리 과정에서 주문이 되었다고 문자왓는데요 지금도 품절이라 표시 안 되어 있는데 무슨 말씀이세요?,구매 목록
s,품절 건 사이트수정 중에 있어 판매 가능으로 확인되는 점죄송드리며 상품 품절 맞으셔서 취소 후 나머지 상품 출고도와 드리도록 할게요.,구매 목록
c,95번 원피스 구매하고 싶은데 컬러는 그레이 색상밖에 없는 것 같은데 구매하기 누르면 왜 블랙만뜰까여? 확인 부탁드립니다,구매 목록
s,옵션이 잘못되였습니다.,구매 목록
c,맨투맨을 50장 정도 사려고 하는데 혹시 직접 찾아가서 티를 좀 볼수 있을까요?,구매 목록
s,오프라인 쇼핑몰이기에 직접 방문 및 직접 구매는 불가능합니다 사이트에서 구매 부탁드려요.,구매 목록
c,2시 이전 주문시 당일 출고 맞나요?,구매 목록
s,저희 14시 이전 결제 건 당일 출고됩니다.,구매 목록
c,주문하려고 상품 문의 보니 어제 날짜에 답글 다신 게 환불 권유하시던 데 오늘 딜 올라온 건 구매가 가능하시 단 말씀인신가요?,구매 목록
s,안녀 하세요 아직 품절 건에 대해서 순차적으로 사이트마다 설정이 되고 있다보니 품절 등록이 조금 늦게 되고 있어요.,구매 목록
c,사이즈 교환하려고 하는데 제가 원하는 사이즈가 품절이네요 어떻게 해야 하죠?,구매 목록
s,상품 입고되어 페이지 들어가 보시면 구입하실수 있어요.,구매 목록
c,색상을 어디다 기입하져?,구매 목록
s,주문하실 경우 결제시 배송 메세지란이 있어요. 못 찻을 경우 상품 문의 게시판에 남겨주세요.,구매 목록
c,메인 화면에 롱조끼 살수 있나요?,구매 목록
s,문의 주신 상품이 어떤 것인지 정확하게 확인이 되지 않습니다. 확인 후 다시 문의주시면 답변 드릴게요.,구매 목록
c,게스이지웨어 남성상의와 하의 사이즈 따로 구매 가능한가요?,구매 목록
s,문의주 신제품 세트 상품으로 별도 구매 및 사이즈 교환 불가한 제품입니다 이 점 고객님의 양해 바랍니다.,구매 목록
c,지금 스킨 브라1 블랙 브라1 팬 각각 1회색 L스킨 L제가 주문한 거 확인은 하시는 건가요?,구매 목록
s,상품은 블랙 2세트 스킨 1세트 바로 오늘 발송 처리 도움 드리겟습니다. 팬티는 이틀 행사에 예상했던 주문량보다 많아 M랜덤 팬티 사이즈가 모두소진되었습니다.,구매 목록
c,브라 75 - 95로 구매로 구매 가능한가요?,구매 목록
s,세트 구성으로 상하의 사이즈 부분 변경/교환 처리 불가한 점 양해 부탁드려요.,구매 목록
c,제물건은 37번인데요?,구매 목록
s,27번 주문 확인되요.,구매 목록
c,통관시 비엘번호 알수 있을까요?,구매 목록
s,입력해 드린 운송장 번호와 동일합니다 그럼 확인 부탁드려요.,구매 목록
c,여학생 아이비셔츠 97입는데 1번 셔츠 M으로 주문하면 되지요?,구매 목록
s,타사 브렌드와 정확한 비교는 어려우나 97사이즈 이시라면 L사이즈 추천 드립니다.,구매 목록
c,가격 9600원이라 나와 있는데 결제할 때는 15800이라고 나오네요 이런 경우에는 9600원으로 결제되는 게 맞쥬?,구매 목록
s,후드의 경우 추가요금 발생됩니다 옵션 선택 시 추가요금 발생되는 것은 결재금액이 맞습니다.,구매 목록
c,제가 할 때수량이 딱 1개였는데 주문제대로 된 것 맞죠?,구매 목록
s,정상적으로 결제가 완료되었으며 금요일 오후 1시30분 이후 결제건은 월요일에 일괄적으로 택배사로 출고 진행이 되고 있어요.,구매 목록
c,해당 제품을 구입했습니다 팬티만 추가로 더 구입하고 싶은데 가능한가요?,구매 목록
s,문의하신 상품은 현재 단품으로 판매되고 있지 않은 상품인 점안 내드립니다.,구매 목록
c,네 알겠습니다. 그리고 질문한 케이스는 안 오는 게 맞는 거였지?,구매 목록
s,주문해주신 2개 제품 모두보관 케이스 가 아닌 보관캡 이 합포장되어 발송되고 있어요.,구매 목록
c,상품 번호가 주문할 때와 왜 다르겠죠?,구매 목록
s,확인 후수정할게요.,구매 목록
c,103번 구매할수 없습니까?,구매 목록
s,확실한 드리지 못하는 점 양해 바랍니다.,구매 목록
c,멜란지를 주문해야 하는데 모르고 덧신을 주문했어요 가능하다면 취소하거나 멜란지 골고루로 보내주실수 있을까요?,구매 목록
s,수정해서 출고할게요.,구매 목록
c,잔여개수 있을 때 주문했는데 왜 품절인가요?,구매 목록
s,동시간 주문건으로 상품 결제가 되셨지만 상품 품절로 발송이 어려우며 또한 재입고 가 정해지지 않아 답변이 어렵습니다.,구매 목록
c,블랙을 취소하고 그레이랑 네이비 주문했는데 확인되셨?,구매 목록
s,그레이네이비 주문 확인되었으며 출고는 내일 예정입니다.,구매 목록
c,낱개 구매도 가능한가요?,구매 목록
s,문의하신 상품은 단품으로 판매되고 있지 않은 점 양해 부탁드려요.,구매 목록
c,옵션을 유발 1개 +무발 1개 이렇게 주문할수는 없을까요?,구매 목록
s,불가합니다. 오늘도 즐거운 하루 보내세요.,구매 목록
c,이 중으로 드네요?,구매 목록
s,고객님이 중으로 배송비가 드는 게 아니고 저희가 무료 배송으로 진행했어서 무료 배송비까지 차감되는 거입니다.,구매 목록
c,문자가 오다 말아서 뭔 말인지 모르겠네요?,구매 목록
s,배송 전 취소하신 걸로 확인되세요. 좋은 상품으로 뵙겠습니다.,구매 목록
c,무얼 상품 필수 입력정보에는 쓰는 건가요?,구매 목록
s,문의사항을 이해하기가 어렵습니다.,구매 목록
c,팬티사이즈가 커서 팬티만 따로 구입할수 있나요?,구매 목록
s,단품으로 판매되고 있지 않은 상품입니다.,구매 목록
c,4900원에 담았는데 계산할 땐 7900원 으 로 뜨는 건 뭐죠?,구매 목록
s,저희가 4900원 착불로 행사하는 게 끝나서 가격이 7900원 무배로 올라가 졌습니다.,구매 목록
c,주문건이 왜 확인이 안 되시죠?,구매 목록
s,이용 정말 감사드리며 주문건 확인됩니다 예쁘게 정성껏 준비해서 신속하게 발송해 드릴게요.,구매 목록
c,왜 주문 취소 되었습니까?,구매 목록
s,선택 불가 주문건 주문접수되어 환불로 처리되었습니다. 해당 옵션으로 선택시 발송이 불가한 점 양해 부탁드립니다.,구매 목록
c,왜 주문 취소 되었나요?,구매 목록
s,옵션 선택 시 구매 불가 옵션 선택 하실 경우 자동 취소 처리됩니다.,구매 목록
c,혹시 08번 브라팬티 4개 세트에 75C 구매하고 배송 메세지란에 남기면 75C 팬티 사이즈 95구매 가능할까요?,구매 목록
s,브라사이즈에 맞게 주문하시구요 팬티사이즈 변경해달라고 게시판에 글 남겨주시면 변경하여 발송해 드릴게요.,구매 목록
c,8일에 구매했는데 언제쯤 배송될까요 이번 주 휴가라 다른 옷을 구매한 건댕 주문해야 하져?,구매 목록
s,배송조회는 발송일 다음날부터 확인 가능합니다.,구매 목록
c,사이즈 95구매할수 있나요?,구매 목록
s,죄송하지만 해당 상품은 95사이즈가 품절이라 구매가 어렵습니다. 더 나은 비비안 비너스가 되겠습니다.,구매 목록
c,어제까지 스커트의 가격이 만원 조금 넘은 가격이였던 같은데 가격이 오른 건가요?,구매 목록
s,상품이나 평일/ 주말에 따라 특가 판매가 들어가는 상품이 변경됩니다 당분간 예정이 없는 것으로 확인되요.,구매 목록
c,골고루 구입은 못합니까?,구매 목록
s,골고루 구매 가능하세요 배송 메세지에 골고루 색상 달라고 남겨주시면 색상골고루 발송할게요.,구매 목록
c,아니 무슨 1월 2일 날 구매했는데 지금 처리가 되요?,구매 목록
s,부분 환불 시택배비2 500원 차감 후 환불 처리할게요.,구매 목록
c,102번 103번 구매할수 없쥬?,구매 목록
s,확실한 드리지 못하는 점 양해 바랍니다.,구매 목록
c,85A 는 구입할수 없을까요?,구매 목록
s,현재 85A 사이즈는 품절로 주문이 불가능합니다.,구매 목록
c,헉. 가격에 변동이 생긴 것 같은데요?,구매 목록
s,사이트/요일 /시간마다 행사 품목 변경으로 인해 가격 변동이 있을수 있는 점 참고 부탁드려요.,구매 목록
c,전 상품 매진이던데 추가 배송비 입금하면 결제한 거오?,구매 목록
s,주문하신 상품 중 T1827 RN 블랙/L 상품이 3일 입고 예정으로 이 상품만 입고되면 추가 배송비 입금 확인 후 발송 진행 예정입니다.,구매 목록
c,14번 모카 신체 스트넛 7사이즈로 구매하려고 하는데 주문을 어떻게 해야 할까요?,구매 목록
s,수정을저희가 미리 못해드렸요 지금 추가수량수정해 드렸으니 확인하셔서 주문 부탁드릴게요.,구매 목록
c,딥 브라운 55구매할수 있음?,구매 목록
s,당사는 여러 브랜드 생산된 완제품을 사입해서 판매하므로 한번 품절이 되면 재입고는 어렵습니다.,구매 목록
c,그냥 기다리면 되지?,구매 목록
s,20일 정상적으로 신청이 되었으나 추석 연휴가 끝난 후 택배 사 물량 증가로 배송/회수가 평소보다 시일이 많이 소요되고 있어요.,구매 목록
c,제가 주문한 건은 남아 있는 거 아니에요?,구매 목록
s,주문 내역 확인되지 않습니다. 주문 번호 기재 후 재문의 남겨주세요.,구매 목록
c,좀 전에 TV에서 차콜 66으로 주문 햇는데 결재계좌가 문자로 오지 않네요?,구매 목록
s,불편드려 죄송하며 게시판 특성상 개인정보 확인이 어려운 점 양해바라며 고객센터로 접수해 주시면 처리도와 드릴게요.,구매 목록
c,"L사이즈는 거의 다품절이네요, 다른 도에서 구매할수 없나요?",구매 목록
s,한정수량이라 여기서만 구매 가능해요.,구매 목록
c,제가 구매하자마자 매진 떠서 굉장히 불안하네요주문제대로 된 겋 맞겠지요?,구매 목록
s,전에 품절되었다는 일이 있었다 니 죄송합니다.,구매 목록
c,혹시 결제 후에 제가 가지러 가도 되지요?,구매 목록
s,지금 주문이 너무 많이 들어와서요급하신 거면 사고날 것 같아서 불가능할 것 같아요.,구매 목록
c,가격으로 소비자 갖고 노시는군요. 이른 거 해야 하나?,구매 목록
s,울 니트 3종 세트는 8월 28일 단 하루타임 특가 행사로 진행된 부분으로 양해 부탁드릴게요.,구매 목록
c,왜 상품 주문 확인이 되지 않을까요?,구매 목록
s,간혹 주문 정보가 늦게 확인되는 경우가 있어요. 조금 전 다시 확인해보니다행히 주문 정보가 확인되어 원하시는 색상으로 발송도와 드릴게요.,구매 목록
c,2사이즈는 구매할수 없나요?,구매 목록
s,상세 페이지 상단의 내용처럼 현재 해당 상품의 주문량이 많아 발송이 지연되고 있어요.,구매 목록
c,80B 재입고 알람될까요?,구매 목록
s,해당 상품은 현재 재입고 일정이 잡혀 있지 않으며 문의 글을 통해서는 알람신청을 하실수 없습니다.,구매 목록
c,1+1 - 9900맞?,구매 목록
s,1+1 상품 결제 금액입니다.,구매 목록
c,평소 77사이즈 입는데 이 제품도 77로 구매하면 될까요?,구매 목록
s,문의주신 상품은 신축성은 있는 편이나 체형별로 차이가 날수 있으므로 상세 사이즈 표 참고하시어 구매 부탁드려요.,구매 목록
c,베이지 66사이즈가 선택에 없는데요 어찌 구매 하나요?,구매 목록
s,죄송하지만 저희 클릭 앤퍼니 사이트에서 구매 부탁드려요.,구매 목록
c,키 ooo 몸무게 ooM 싸이즈입는 사람인데 딥블루 정장은 마른 체형은 한 치수 크게 입으라고 나왔는데 LL 주문하면 될까요?,구매 목록
s,저희 상품 일반적으로 슬림하게 제작되여 일반상품보단 전체적으로 작게 나왔습니다.,구매 목록
c,주소적힌 곳 찾아가서 직접 보고 사도 되나요?,구매 목록
s,방문 구매는 어려우세요.,구매 목록
c,혹시 블랙으로만 전체 구매는 안 될까요?,구매 목록
s,본 제품 몰드주머니가 없는 디자인이나 브라 안쪽에 패널은 있는 부분으로 대체 활용할수 있으며 세트 구성 제품으로 색상 지정 선택 구매가 어려운 점 양해 바랍니다.,구매 목록
s,할부이신가요?,구매 목록
c,"아니요, 일시불로 해주세요",구매 목록
s,네. 그럼 결제해드릴까요?,구매 목록
c,네. 참,구매 목록
s,할부 해 드릴까요?,구매 목록
c,일시불로 해주세요,구매 목록
s,할부 해 드릴까요?,구매 목록
c,삼개월로 해주세요,구매 목록
s,일시불로 하세요?,구매 목록
c,아니요,구매 목록
c,무이자 돼요? 그럼 총 십육만 구천 원? 삼 개월로 해 주세요. 제 것도 신상품 사고 싶은데 조금 더 이따 사야 될 것 같아요,구매 목록
s,일시불로 할까요?,구매 목록
c,네,구매 목록
s,카드 일시불인가요?,구매 목록
c,네 일시불요,구매 목록
s,네 카드 무이자 가능한데 할부 도와 드릴까요?,구매 목록
c,네 삼개월로 해주세요,구매 목록
s,계산은 어떻게 하시나요?,구매 목록
c,카드로 할게요,구매 목록
s,에 그러시면 훨씬 낫죠,구매 목록
c,그러니까 십프로면 크지,구매 목록
s,할부해드릴까요?,구매 목록
c,3개월로 해주세요,구매 목록
c,혹시 이거 카드 무이자 할부되나요?,구매 목록
s,네네네,구매 목록
s,무이자 ?,구매 목록
c,oo카드,구매 목록
s,카드받고 삼개월로 결제 할게요?,구매 목록
s,결제는 어떤 걸로 해 드릴까요,구매 목록
c,카드로 할게요,구매 목록
s,어 혹시 할부 하시나요,구매 목록
c,네 해주세요 삼개월로,구매 목록
s,네 3개월로  해 드렸어요,구매 목록
s,결제는 어떻게 해드릴까요,구매 목록
c,카드로 할게요,구매 목록
s,카드로 하시겠어요,구매 목록
c,카드 결제 가능해요?,구매 목록
s,어 네 가능 하세요,구매 목록
s,결제 다 되셨구요 사이즈가 안 맞으시거나 다른 상품 보시고 싶으시면 택이 부착되어 있는 상태로 가져 오시면 돼요,구매 목록
s,그럼 고객님 결제는 어떤 걸로 하시겠어요,구매 목록
c,카드로 할게요,구매 목록
s,아 일시불로 해드릴까요,구매 목록
s,음 고객님 결제 완료되셨구요,구매 목록
s,혹시 다른 상품을 보시고 싶으시 거나 상품이 맘에 안 드시면 교환은 가능 하시 거든요,구매 목록
c,아 교환 기간은요?,구매 목록
s,교환 기간은 구매 일로부터 칠일 이구요,구매 목록
s,어 열흘이 넘지 않으신 상태에서 오셔야 해요 저희가 최장으로 해도 열흘 까지는 받을 수 있는데 그 이상 되시면 교환 환불이 안 되실 수 있거든요,구매 목록
s,결제는 어떤 방법으로 해드릴까요,구매 목록
c,현금으로 해주세요,구매 목록
s,할부는 어떻게 하시겠어요,구매 목록
c,"아, 일시불로 할게요",구매 목록
c,그 무이자 되는 카드 있나요?,구매 목록
s,어 현대랑 국민이랑 신한 삼성 엔에이치카드가 지금 삼개월 무이자 가 되요,구매 목록
c,선금을 어떻게 걸어야 되나요 돈을,구매 목록
s,아 그렇진 않아요,구매 목록
c,돈 안 걸어도 되요?,구매 목록
s,그 뭐 선금을 뭐 뭐 어차피 아직 뭐 가져 가셔서 컴펌낸 게 아니시니까,구매 목록
s,일단은 뭐 금액 대에 맞춰서 이제 제가 좀 이따 이제 보여드릴게요,구매 목록
s,매장 가셔서 근데 거기서 보시고 그렇게 뭐 몇 개를 가져가 보시는게,구매 목록
s,금액 대에 맞춰서,구매 목록
s,그렇게 되시면은 그게 일번 같아요,구매 목록
c,네 그러면 저도 이제 요 물건을 가져가고,구매 목록
c,또 인제 맘에 안든다 하면,구매 목록
c,또 다른 물건을 교체해서 가져갔다가,구매 목록
s,네 교환도 가능 하시고요,구매 목록
c,그렇게 해서 가져갔다가,구매 목록
c,거기 그 그 그 분들한테,구매 목록
c,확답을 받아 가지고 갖고 올게요,구매 목록
c,그렇게 해도 되죠?,구매 목록
s,아 감사합니다 아유 뭐 그렇게 해주시면 좋고,구매 목록
s,납기일만 조금 여유 주시면,구매 목록
s,뭐 충분히 가능 하니까,구매 목록
s,일시불로 할까요?,구매 목록
c,네,구매 목록
s,없어요? 일시불로 할까요?,구매 목록
c,네,구매 목록
s,일시불로 할까요?,구매 목록
c,네 상자는 버려주세요,구매 목록
s,일시불로 할까요?,구매 목록
c,네 그냥 주세요,구매 목록
s,어 할부 하시겠어요,구매 목록
c,어 일시불로 주세요,구매 목록
s,어 할부 하시겠어요,구매 목록
c,네 두 달로 좀 해주세요,구매 목록
s,네 어 일시불로 할까요,구매 목록
c,네 일시불로 해주세요,구매 목록
c,카드 혹시 oo카드 무이자 되나요,구매 목록
s,oo 무이자 가능 하시고요,구매 목록
s,삼개월 해드릴까요?,구매 목록
c,네,구매 목록
c,네 맞아요 삼개월 해주세요,구매 목록
s,어 할부 하시나요,구매 목록
c,아니요 일시불이요,구매 목록
s,결제는 어떻게 해드릴까요,구매 목록
c,일시불로 그냥 해주세요,구매 목록
s,할부할까요?,구매 목록
c,일시불로 해주세요,구매 목록
c,주세요 혹시 카드 무이자할부 되는 거 있어요,구매 목록
s,카드 잠시만요,구매 목록
s,oo은 지금 이개월에서 육개월까지 무이자 되요,구매 목록
s,할부 해드릴까요,구매 목록
c,네 이개월로 해주세요,구매 목록
s,할부할까요?,구매 목록
c,일시불로 해주세요,구매 목록
c,네 혹시 카드 무이자할부 되는 거 있어요,구매 목록
s,저희 지금 신한 삼성 비씨 농협 현대카드 무이자 되고 있어요,구매 목록
c,혹시 삼성은 혹시 몇 개월까지,구매 목록
s,삼성카드 이개월에서 육개월까지 무이자 할부 되요,구매 목록
c,그래요,구매 목록
s,네,구매 목록
c,요거,구매 목록
s,네 어 몇 개월 해드릴까요,구매 목록
c,이개월 해주세요,구매 목록
c,네,구매 목록
s,이개월이요,구매 목록
s,알겠습니다 여기 먼저 성함 하고 연락처 주소 먼저 적어주세요,구매 목록
c,네 혹시 오늘 사은행사 하는 거 있나요,구매 목록
s,카드는 어떻게 해드릴까요 할 부요,구매 목록
c,일시불로 해주세요,구매 목록
s,일시불로 해드릴까요,구매 목록
c,네,구매 목록
s,아 그럼 일시불로 결제할게요 고객님,구매 목록
c,네,구매 목록
s,아니에요 사장님 팔만 이천원이요 일시불이여 아니면,구매 목록
c,일시불이요,구매 목록
s,어 할부 할까요,구매 목록
c,아 금액이 얼마죠,구매 목록
s,아 죄송합니다 제가 금액을 안알려 드렸네요,구매 목록
s,세일해서요 고객님,구매 목록
s,이십만 칠천이백 원이에요,구매 목록
c,아 음 그냥 일시불로 해주세요,구매 목록
s,네 알겠습니다 결제 완료 되셨 구요,구매 목록
s,어 할부 해드릴까요,구매 목록
c,아니요 그냥 일시불로 해주세요,구매 목록
s,네 알겠습니다 고객님 결제 되셨 구요,구매 목록
s,그렇게 상품드릴 테니까 마음에 안 드시면 다시 가지고 내방 해주세요,구매 목록
c,네,구매 목록
c,어 그러면은 무이자 되는 카드 혹시 있나요,구매 목록
s,어 oo oo oo oo oo 다섯 가지 있어요,구매 목록
c,아 oo은 안되나요,구매 목록
s,oo되요,구매 목록
c,아 oo은 몇 개월까지 되요,구매 목록
s,oo만 육개월까지 되요,구매 목록
s,나머진 삼개월까지고,구매 목록
s,네,구매 목록
s,할부 몇 개월 해드릴까요,구매 목록
c,삼개월로 해주세요,구매 목록
c,삼십팔만원 카드로 몇개월까지 무이자,구매 목록
s,삼개월 됩니다 기본,구매 목록
s,카드하실거죠?,구매 목록
c,네 여기요,구매 목록
s,일시불로 하실꺼죠?,구매 목록
c,네 일시불로 해주세요,구매 목록
c,사장님 저는 죄송한데 저는 저거 사고 애기신발 먼저 계산하고 갈께요,구매 목록
s,아 바쁘시구나,구매 목록
s,카드계산하실꺼죠,구매 목록
c,네 카드로,구매 목록
s,애기가 양말도 막 만지네 맘에 드나보네 저 카드 받으시고요,구매 목록
s,카드로 결재할거죠?,구매 목록
c,네,구매 목록
s,할부할까요?,구매 목록
c,일시불로 해주세요,구매 목록
s,네 알겠습니다 카드로 하실꺼죠?,구매 목록
c,네,구매 목록
s,할부할까요?,구매 목록
c,일시불로 해주세요,구매 목록
s,할부하세요?,구매 목록
c,일시불이요,구매 목록
s,할부 해드릴가요?,구매 목록
c,몇개월까지 무이자에요?,구매 목록
s,롯데 같은 경우에는 5개월 무이자 가능하세요,구매 목록
c,그럼 그냥 2개월로 끊어주세요,구매 목록
s,네 몇개월로 할까요?,구매 목록
c,3개월로 해주세요,구매 목록
s,결제 되셨어요,구매 목록
s,카드랑 영수증 챙기세요,구매 목록
s,이 카드로 결제 도와드릴께요 일시불 이시죠,구매 목록
c,네 일시불,구매 목록
s,일시불로 할까요?,구매 목록
c,3개월 할부로 해 주세요,구매 목록
s,일시불 이구요,구매 목록
c,네,구매 목록
s,할부 해드릴까요?,구매 목록
c,아니요~,구매 목록
s,11만 7천 원입니다 ~~ 계산 뭘로 해 드릴까요?,구매 목록
c,카드로 할게요,구매 목록
s,몇 개월로 할까요,구매 목록
c,일시불로 해 주세요,구매 목록
c,무이자 할부도 되나요?,구매 목록
s,네,구매 목록
c,몇개월까지 되죠?,구매 목록
s,십이개월이요,구매 목록
s,몇개월로 할까요?,구매 목록
c,일시불로 해주세요,구매 목록
s,할부해드릴까요,구매 목록
c,네~3개월 해주세요,구매 목록
s,서명해주시구요,구매 목록
s,결재 완료되셨습니다,구매 목록
s,네 할부는 어떻게 해드릴까요,구매 목록
c,아 일시불로 해주세요,구매 목록
s,무이자 몇개월로 할까요?,구매 목록
c,일시불로 할게요,구매 목록
s,무이자 몇개월로 할까요?,구매 목록
c,3개월이요,구매 목록
s,무이자 몇개월로 할까요?,구매 목록
c,3개월이요,구매 목록
s,무이자 몇개월로 할까요?,구매 목록
c,2개월이요,구매 목록
s,무이자 몇개월로 할까요?,구매 목록
c,3개월이요,구매 목록
s,무이자 몇개월로 할까요?,구매 목록
c,3개월이요,구매 목록
s,결제해드릴게요. 카드결제하시죠?,구매 목록
c,네,구매 목록
s,무이자되는 카드 중에 뭐 있으세요?,구매 목록
c,이 카드 있어요,구매 목록
s,무이자 몇개월로 할까요?,구매 목록
c,3개월이요,구매 목록
s,결제해드릴게요. 카드결제하시죠?,구매 목록
c,네,구매 목록
s,할부 끊을까요?,구매 목록
c,아니요 일시불로 해주세요,구매 목록
c,무이자예요,구매 목록
s,국민카드에 할부가 되네요 3개월 무이자,구매 목록
s,카드 어떤 카드 쓰세요,구매 목록
c,저 국민카드인데요,구매 목록
c,삼성카드인데 할부 무이자가 얼마나 돼요,구매 목록
s,삼성은,구매 목록
c,6개월 돼요,구매 목록
s,무이자 3개월 되는데,구매 목록
c,3개월이에요,구매 목록
s,어머니 한 달에 한 십팔만사천원 나가는데,구매 목록
s,무이자 할부 하시나요,구매 목록
c,무이자 되나요,구매 목록
s,네 삼개월이요,구매 목록
s,무이자 몇개월로 할까요?,구매 목록
c,2개월이요,구매 목록
s,무이자 몇개월로 할까요?,구매 목록
c,일시불로 할게요,구매 목록
c,카드 혹시 할부 되나요?,구매 목록
s,네 할부되요 3개월요,구매 목록
c,3개월요?,구매 목록
s,네,구매 목록
s,결제뭘로 해드릴까요?,구매 목록
c,카드해주세요,구매 목록
s,네 여기 꼽아주세요,구매 목록
c,꼽았습니다,구매 목록
s,사인부탁드려요,구매 목록
c,네 사인했어요,구매 목록
s,할부할까요?,구매 목록
c,일시불로 해주세요,구매 목록
s,몇 개월로 해드릴까요?,구매 목록
c,3개월 해주세요,구매 목록
s,할부는 어떻게 해 드릴까요,구매 목록
c,3개월로 해주세요,구매 목록
s,무이자 몇개월로 할까요?,구매 목록
c,2개월이요,구매 목록
s,삼개월 무이자 인데 어떻게 할까요,구매 목록
c,음 그럼 삼개월로 해주세요,구매 목록
s,"네, 할부 하시겠어요?",구매 목록
c,몇 개월 무이자이지요?,구매 목록
s,할부 필요하신가요?,구매 목록
c,네,구매 목록
s,몇개월로 해드릴까요?,구매 목록
c,삼개월로 해주세요,구매 목록
s,알겠습니다 지금 한번 긁어보겠습니다 삼개월 맞죠,구매 목록
c,네 이렇게 영수증,구매 목록
s,할부 해드릴까요?,구매 목록
c,이개월로 해주세요,구매 목록
s,할부는 몇 개월로 해 드릴까요,구매 목록
s,일시불인가요?,구매 목록
c,네. 일시불로 해주세요,구매 목록
s,할부는 어떻게 해드릴까요?,구매 목록
c,그냥 일시불로 해주세요,구매 목록
s,일시불로 할까요?,구매 목록
c,네,구매 목록
s,몇 개월로 할까요?,구매 목록
c,일시불 해주세요,구매 목록
c,할부 해 드릴까요?,구매 목록
s,일시불로 해주세요,구매 목록
s,할부 해 드릴까요?,구매 목록
s,삼개월로 해주세요,구매 목록
s,할부로 하세요?,구매 목록
c,아니요 일시불로 해주세요,구매 목록
s,결제는 후불로 하시되 현찰로 결제 하셔야해요,구매 목록
c,네 알겠습니다,구매 목록
s,접수증 써 드릴게요,구매 목록
s,접수증 챙기시고 다 되면 핸드폰으로 연락 드릴게요,구매 목록
s,할부 몇 개월 해드릴까요?,구매 목록
c,할부 가능해요?,구매 목록
s,육개월까지 가능하십니다,구매 목록
c,할부 도와 드릴까요?,구매 목록
s,아닙니다,구매 목록
c,카드 할부도 되나요?,구매 목록
s,카드 할부도 가능해요. 몇 개월로 드릴까요?,구매 목록
c,삼개월로 해주세요,구매 목록
s,몇개월할까요?,구매 목록
c,3개월 해주세요,구매 목록
s,결제는 어떻게 할까요?,구매 목록
c,일시불로 해주세요,구매 목록
s,네 일시불로 결재 하겠습니다,구매 목록
c,네 그래주세요,구매 목록
c,무이자 할부로 살 수 있습니까?,구매 목록
s,카드사 마다 달라서요,구매 목록
c,그런데 무이자 할부 몇 개월까지 되나요?,구매 목록
s,삼 개월 육개 월 십이 개월 됩니다,구매 목록
s,몇 개월 할부로 하시겠어요?,구매 목록
c,삼 개월로 적용해 주세요,구매 목록
s,네 삼 개월 무이자로 금액 결제 되셨어요,구매 목록
c,할부 해 드릴까요?,구매 목록
s,네 6개월 할부 해주세요,구매 목록
s,몇개월로 해드릴까요?,구매 목록
c,일시불로 해주세요,구매 목록
s,할부로 해드려요?,구매 목록
c,네네네,구매 목록
s,할부는 어떻게 해드릴까요?,구매 목록
c,일시불로 해주세요,구매 목록
s,할부해드릴까요?,구매 목록
c,아니요,구매 목록
s,할부는요 고객님?,구매 목록
c,일시불로 해주세요,구매 목록
s,할부 하실까요?,구매 목록
c,아니요,구매 목록
s,몇개월로 할까요?,구매 목록
c,6개월 해주세요,구매 목록
s,할부는 어떻게 해드릴까요?,구매 목록
c,일시불 해주세요,구매 목록
s,카드 싸인 부탁드립니다,구매 목록
c,네 확인요,구매 목록
c,할부 되나요?,구매 목록
s,네,구매 목록
c,몇개월까지 되나요?,구매 목록
s,십이개월까지 되요,구매 목록
s,할부 필요하세요?,구매 목록
c,아뇨 어차피 재결제 할꺼니까 그냥할게요,구매 목록
s,몇개월로 해줄까요,구매 목록
c,3개월해주세요,구매 목록
