발화자,발화문,인텐트
s,50대 여성분들에게 인기 많은 제품은 수퍼 울트라 기초세트예요.,상품 추천
c,피부에 유분기가 많은데 수분이 많은 상품으로 추천해 주실만한 제품은 어떤 건가요?,상품 추천
s,"네. 유분이 많은 피부이면, 가벼운 제품으로 바르시면 됩니다.",상품 추천
c,화장품 중에 학생들이 사용하기 좋은 제품 좀 추천해 주실 수 있나요?,상품 추천
s,학생들이 사용할 만한 제품은 베이비로션 추천해 드려요.,상품 추천
c,마스크팩 중에서 가장 저렴한 제품 추천해 주실 수 있나요?,상품 추천
s,제일 저렴한 알로에팩이 부담없이 쓰기에는 좋으실 겁니다.,상품 추천
c,잘 팔리는 립스틱으로 보여주세요.,상품 추천
s,이쪽에서 보여드릴게요.,상품 추천
c,제가 피부가 많이 민감해서 부드러운 소재감의 니트를 입고 싶은데 추천해 주실만한 제품이 있을까요?,상품 추천
s,울 100% 소재의 메리노 울 니트를 추천해봅니다.,상품 추천
c,마스카라 중에 유분끼가 많은 사람이 쓰면 좋은 제품으로 골라 주세요.,상품 추천
s,유분끼를 잘 잡아주는 걸로 메이블린 뉴욕 마스카라를 추천해 드립니다.,상품 추천
c,골프바지 겨울용으로 따뜻한거 보여주세요,상품 추천
s,"네, 겨울용 골프바지 보여드리겠습니다.",상품 추천
c,목걸이 제일 심플한 거로 하나 추천해 주실 수 있나요?,상품 추천
s,이 목걸이가 심플하고 인기 많습니다.,상품 추천
c,피부가 건성인 사람이 쓰기 좋은 화장품 추천부탁드려요.,상품 추천
s,건성인 분이 쓰기 좋은 크림과 로션 보여드릴게요.,상품 추천
c,저는 쿨톤 피부인데 저한테 잘 맞는 비비크림으로 골라서 보여 주세요.,상품 추천
s,쿨톤 피부에는 이 비비크림이 아주 잘 어울려요.,상품 추천
c,스틱형 립밤 중에 보습력 좋은 거 추천해 주세요.,상품 추천
s,히말라야 립밤 추천해 드려요.,상품 추천
c,시계 페이스에 숫자 안 적혀 있는 걸로 보여주세요,상품 추천
s,네. 시계 디자인 한번 보여드릴게요,상품 추천
c,면접용 정장 추천좀 부탁드려도 될까요?,상품 추천
s,"네, 요새 왼쪽에 보이는 제품이 잘 나갑니다.",상품 추천
c,7세 남자아이 여행갈 때 입힐 옷 추천 좀 해주세요.,상품 추천
s,사파리 점퍼나 야구점퍼가 있어요,상품 추천
c,장우산 살 튼튼한 걸로 몇 개 추천 좀 받고 싶습니다.,상품 추천
s,"잠시만요, 보여드릴게요. ",상품 추천
c,속옷세트 중에 데일리로 입기 좋은 걸로 추천 부탁드려요.,상품 추천
s,데일리로 입기 좋은 무난한 걸로 추천해드릴게요.,상품 추천
c,피부 톤 보정도 되는 선크림 소개해 주세요.,상품 추천
s,해당 기능이 있는 제품으로 브라이트닝 업 선 플러스 추천해 드릴게요.,상품 추천
c,촉촉한 립스틱 좀 추천해주세요.,상품 추천
s,이 립스틱이 보습성분이 함유되어 있어서 촉촉한 편이에요.,상품 추천
c,선물하려고 하는데 호불호 없는 디자인 보여주실래요?,상품 추천
s,"네, 취향을 많이 타지 않는 디자인 보여드릴게요.",상품 추천
c,전문가용 카메라 삼각대 최저가 추천해주실 수 있나요?,상품 추천
s,네. 기본형의 경우 53000원입니다.,상품 추천
c,결혼식에 입고 갈 원피스 좀 보여주실래요?,상품 추천
s,"네, 이 원피스 제일 잘 나가요.",상품 추천
c,임산부들한테 가장 인기있는 임부복 추천 부탁드려요.,상품 추천
s,임부복 중에서는 이 브랜드가 가장 잘 팔려요.,상품 추천
c,데이트할 때 착용한 세련된 시계 추천해주세요.,상품 추천
s,네. 댄디한 메탈소재 시계 추천해드려요.,상품 추천
c,파운데이션 촉촉하고 수분 많은걸로 추천부탁드려요.,상품 추천
s,에스쁘아 파운데이션이 수분이 많아서 촉촉해요.,상품 추천
c,브래지어 중에 와이어 없는 제품으로 추천해주세요.,상품 추천
s,이 브래지어가 와이어가 없는 제품이라 이 제품으로 추천해드릴게요.,상품 추천
c,제가 손목이 좀 가는데 가벼운 시계로 볼 수 있을까요?,상품 추천
s,"네, 가벼운 제품 위주로 보여 드리겠습니다.",상품 추천
c,알코올 안들어간 제품들 보여주실 수 있나요?,상품 추천
s,네. 그럼요 제품 안내도와드릴게요,상품 추천
c,100일 기념 커플반지 인기 디자인 좀 골라주세요.,상품 추천
s,100일 기념 커플반지 인기 디자인 골라드리겠습니다.,상품 추천
c,커플링 맞출건데 인기있는 디자인 추천 부탁드릴게요.,상품 추천
s,인기있는 디자인 순서대로 보여드리겠습니다.,상품 추천
c,필라테스용으로 입을건데 신축성이 좋은 레깅스 좀 추천해주겠어요?,상품 추천
s,이번에 새로 나온 제품들이 신축성이 굉장히 좋아요.,상품 추천
c,쿨톤한테 어울리는 립 좀 추천해주세요.,상품 추천
s,플럼 색상 추천해드려요.,상품 추천
c,가을에 쓸만한 좋은 보습제 좀 추천 부탁드려요.,상품 추천
s,세타필에서 나온 보습 크림이 아주 좋습니다.,상품 추천
c,원피스 화사한 걸로 좀 추천해주시면 해요.,상품 추천
s,"네, 원하시는 상품으로 보여드릴게요.",상품 추천
c,5월에 제주도갈때 입을 티셔츠 좀 보여주실래요?,상품 추천
s,반팔 티셔츠를 추천해드려요.,상품 추천
c,청바지 중에서 가을에 잘 나가는 걸로 추천해 주세요.,상품 추천
s,청바지 중 가을에 잘 나가는 것으로 골라 드리겠습니다.,상품 추천
c,봄에 입을 만한 원피스 추천해주세요.,상품 추천
s,이 제품을 보여드릴게요.,상품 추천
c,남성용 손목시계 우아한 제품 하나 추천해주세요.,상품 추천
s,이 손목시계가 우아해서 인기 제품입니다.,상품 추천
c,소재가 제일 튼튼한 장갑으로 골라 주시겠어요?,상품 추천
s,튼튼한 등산 장갑으로 골라 드리겠습니다.,상품 추천
c,여자 아이 구두 중에서 굽이 좀 부드럽게 나온 걸로 보여주세요.,상품 추천
s,"네, 이 구두는 밑창이 부드러워서 아주 편하답니다.",상품 추천
c,"너무 건조한데, 겨울에 사용하면 좋은 수분크림 좀 추천해주실 수 있나요?",상품 추천
s,지금 보시는 수분크림이 이번 겨울에 새로 출시되었는데 매우 좋아요.,상품 추천
c,겨울철에 사용하려고 하니 보습력 좋은 로션 좀 보여 주세요.,상품 추천
s,겨울철 보습력이 좋은 상품은 이 상품입니다.,상품 추천
c,이 자켓에 어울리는 바지 좀 보여주세요.,상품 추천
s,"네, 바지 추천 해드릴게요.",상품 추천
c,그냥 패션반지로 낄 수 있는 디자인의 반지도 좀 보여주실 수 있을까요?,상품 추천
s,네. 몇 가지 디자인으로 보여드리도록 할게요.,상품 추천
c,봄에 잘 어울리는 원피스 보여주실 수 있나요?,상품 추천
s,"네, 화사한 느낌으로 추천해드리겠습니다.",상품 추천
c,제 피부에 잘 맞는 립스틱 골라주세요.,상품 추천
s,코랄 계열의 제품이 손님한테는 잘 어울릴 것 같아요.,상품 추천
c,제일 진한 색상 립밤은 어떤 제품인지 알려주세요.,상품 추천
s,케이스가 빨간 립밤이 바르시면 제일 진해요.,상품 추천
c,요즘 입기에 적당한 화사한 원피스는 어떤 걸까요?,상품 추천
s,이 제품을 강력 추천해요.,상품 추천
c,백탁이 많이 없는 선크림 좀 찾아주실래요?,상품 추천
s,선크림 중 이 제품이 가장 백탁이 적어요.,상품 추천
c,지폐 수납 많이 되는 지갑 좀 골라주세요.,상품 추천
s,"네, 지폐 수납 많이 되는 지갑 여기 있습니다.",상품 추천
c,출근할 때 신을 건데 펌프스 10만원대로 추천해 주세요.,상품 추천
s,이 상품이 95000원인데 요새 잘 나가요.,상품 추천
c,레깅스 발목에 디자인 때문에 너무 조여서 불편한데 다른 걸로 보여주세요,상품 추천
s,"네, 다른 디자인의 레깅스 보여드릴게요.",상품 추천
c,향기 오래 가는 향수로 추천받을게요.,상품 추천
s,향기 오래 가는 향수로 은방울꽃 향수를 추천해 드립니다.,상품 추천
c,저에게 어울리는 목도리 컬러 좀 골라주실래요?,상품 추천
s,노란색이 잘 어울리시는 것 같아요.,상품 추천
c,봄에 입기 좋은 원피스를 골라주시면 어떨까요?,상품 추천
s,"네, 화사한 느낌으로 보여드릴게요.",상품 추천
c,커플링으로 인기가 많은 디자인을 추천해주시면 좋을 것 같아요.,상품 추천
s,커플링은 이번에 새로나온 상품 중 이게 가장 인기가 많습니다.,상품 추천
c,워터프루프되는 아이라이너 좀 추천 부탁합니다.,상품 추천
s,"네, 이 아이라이너 추천드립니다.",상품 추천
c,아이섀도우 중에서 발색이 잘 되는 것을 찾고 있어요.,상품 추천
s,"네, 아이섀도우 중에서 쉽게 발색이 되는 제품으로 찾아드릴게요.",상품 추천
c,임산부들한테 가장 인기있는 임부복 추천 좀 해주실래요?,상품 추천
s,이 옷은 임부복은 아니지만 편하게 입을 수 있어서 인기가 좋아요.,상품 추천
c,30대 하객룩으로 봄에 입을 만한 블라우스 좀 추천해주세요.,상품 추천
s,러브 블라우스를 추천해 드립니다.,상품 추천
c,등산 용품을 처음사러 왔는데 추천해주실 수 있나요?,상품 추천
s,네. 등산용품 추천해드릴게요,상품 추천
c,시계 유행 안 타는 디자인으로 좀 추천해주실 수 있을까요?,상품 추천
s,"네, 유행 안타는 디자인으로 몇 가지 선별해서 보여드릴게요.",상품 추천
c,지성용 남자 간편하게 바를 수 있는 로션 좀 추천해주세요.,상품 추천
s,비타맥스 올인원 로션을 추천해드립니다.,상품 추천
c,미술놀이 할 때 쓸 만한 앞치마 좀 보여주세요.,상품 추천
s,미술놀이 할 때는 이런 방수 앞치마가 좋습니다.,상품 추천
c,결혼식 때 입고 갈 만한 원피스 좀 골라주실 수 있나요?,상품 추천
s,"네, 이 원피스 결혼식 때 입으면 이뻐요.",상품 추천
c,부유해 보이고 싶은데 팔찌 하나만 추천해주실 수 있나요?,상품 추천
s,순금 24k의 팔찌로 추천해드릴게요.,상품 추천
c,신생아우주복 가장 인기있는 디자인 보여주세요.,상품 추천
s,"네, 신생아우주복 가장 인기있는 디자인으로 보여드리겠습니다.",상품 추천
c,각질제거에 좋은 마스크 좀 추천해주세요.,상품 추천
s,산소 필 마스크를 추천해 드립니다.,상품 추천
c,임산부들한테 가장 인기있는 임부복 추천해주세요.,상품 추천
s,올해 나온 신상품들이 인기 있어요.,상품 추천
c,30대 여자한테 어울리는 가디건 추천해 주세요.,상품 추천
s,앙고라 가디건이 인기있습니다.,상품 추천
c,지금 날씨에 입을 수 있는 치마 좀 보여주세요.,상품 추천
s,지금 계절에 이 치마 입으시면 따뜻합니다.,상품 추천
c,파운데이션 쿨톤이 사용하기에 좋은 제품으로 알려주시겠어요?,상품 추천
s,"네, 잠시 기다려주시면 제 손등에 바르면서 보여드릴게요.",상품 추천
c,남성 지갑 베스트 상품으로 보여주시겠어요?,상품 추천
s,"네, 베스트 상품으로 보여드릴게요.",상품 추천
c,겨울에 신을 스타킹이 필요한데 추천해 주세요.,상품 추천
s,울 소재의 스타킹을 판매 중입니다.,상품 추천
c,홍조피부에 맞는 메이크업베이스 컬러 좀 골라서 보여 주세요.,상품 추천
s,"네, 홍조가 심한 피부에는 민트컬러를 사용하시는 게 좋습니다.",상품 추천
c,선물하기에 괜찮은 여성용 모자 좀 보여주세요.,상품 추천
s,잠시만 기다려주세요.,상품 추천
c,대학생들이 사용하기 적당한 립스틱 있으면 보여 주세요.,상품 추천
s,이 립스틱이 대학생들이 사용하기 적합한 상품입니다.,상품 추천
c,이 넥타이랑 잘 어울리는 넥타이핀 좀 골라주세요.,상품 추천
s,"네, 넥타이핀 추천해드릴게요.",상품 추천
c,과일향이 나는 향수로 추천해 주세요.,상품 추천
s,과일향이 나는 랑방 에끌라 드 아르페쥬를 추천합니다.,상품 추천
c,봄에 입을 만한 원피스로 골라줄래요?,상품 추천
s,"네, 화사한 원피스로 골라드릴게요.",상품 추천
c,골프바지 잘 늘어나는걸로 추천해주세요.,상품 추천
s,"네, 잘늘어나는 골프바지 추천해드리겠습니다.",상품 추천
c,연예인들이 많이 착용하는 팔찌 추천해주실 수 있나요?,상품 추천
s,트리플 링 팔찌가 있어요.,상품 추천
c,향이 과하지 않은 향수 좀 소개해 주세요.,상품 추천
s,저희 제품 중에는 이 향수가 과하지 않은 것 같습니다.,상품 추천
c,제가 발볼이 엄청 넓은데 편하게 신을 수 있는 런닝화가 하나 사고 싶은데 뭐 추천해주실만한 제품 있나요?,상품 추천
s,베이퍼맥스 제품이 발볼이 넓어서 신으시기 편하지 않을까 예상해봅니다.,상품 추천
c,새치커버용 염색약 구매하려고 하는데 좀 골라 주세요.,상품 추천
s,새치커버 목적으로는 이 상품이 좋은 것 같습니다.,상품 추천
c,여자친구 선물로 많이 나가는 원피스 좀 추천해주세요.,상품 추천
s,앞쪽 진열 상품들이 선물로 많이 나가요.,상품 추천
c,부드럽고 신축성 좋은 파자마 좀 알려주세요.,상품 추천
s,이 제품이 촉감 좋고 신축성 좋게 나온 제품입니다.,상품 추천
c,아기가 입을만한 잠옷 중에 귀여운 디자인으로 골라주시겠어요?,상품 추천
s,아기가 입을만한 귀여운 디자인의 잠옷으로 골라드릴게요.,상품 추천
c,얼굴 뽀얗게 보이는 비비 크림을 보여주세요.,상품 추천
s,"네, 얼굴이 뽀얗게 보이는 비비 크림으로 보여드릴게요.",상품 추천
c,외국인에게 선물할 건데 한국적 느낌이 나는 목걸이 추천해 주세요.,상품 추천
s,전통문양이 새겨진 목걸이를 추천드립니다.,상품 추천
c,갖고 있으면 무난하게 잘 쓸 컬러 몇 개만 추천해주세요.,상품 추천
s,네 보여드리겠습니다.,상품 추천
c,여드름 있는 피부에도 사용하기 좋은 제품 소개해 주세요.,상품 추천
s,"네, 여드름 완화에 도움이 되는 제품 보여 드리겠습니다.",상품 추천
c,임산부가 입을 건데 제일 루즈하고 신축성 좋은 롱티 좀 보여주세요.,상품 추천
s,이 옷이 많이 루즈하게 나와서 임신 중기까지는 편하게 입으실 수 있으실거예요.,상품 추천
c,캐주얼룩 면바지 추천해주세요.,상품 추천
s,네. 이쪽에서 보여드리겠습니다,상품 추천
c,요즘 입을 만한 화사한 원피스는 어떤 게 좋을까요?,상품 추천
s,이 세 가지 제품이 가장 나아요.,상품 추천
c,가장 대중적인 브랜드로 반지 하나 골라주세요.,상품 추천
s,가장 대중적인 브랜드의 반지로 보여드릴게요.,상품 추천
c,운동화나 구두안에 신어도 잘 안 벗겨지는 덧신 골라주세요.,상품 추천
s,"네, 실리콘 덧신 보여드릴게요.",상품 추천
c,이 정장에 잘 어울리는 셔츠 좀 추천해주시겠어요?,상품 추천
s,"네, 그 정장에 잘 어울리는 셔츠로 추천해 드리겠습니다.",상품 추천
c,여행용으로 쓸 건데 큰 가방으로 보여주세요.,상품 추천
s,이 가방이 요새 여행용으로 많이 사 가시더라구요.,상품 추천
c,쌍둥이에게 선물하려는데 색상이 다르지만 디자인은 같은 모자로 추천 부탁드려요.,상품 추천
s,모자 중 빨간색과 초록색의 방울이 달린 것을 추천해 드리겠습니다.,상품 추천
c,드레스랑 매치하기 좋은 귀걸이 좀 보여주실래요?,상품 추천
s,"네, 이 드레스가 드레스랑 매치하기 좋은 귀걸이예요.",상품 추천
c,마스카라 오래 번지지 않는 제품 하나 추천해 주세요.,상품 추천
s,이 마스카라가 번지지 않고 촉촉함이 오래 갑니다.,상품 추천
c,아이브로우카라 색상 좀 추천해 주세요.,상품 추천
s,"네, 제가 색상 추천해드릴게요.",상품 추천
c,민감성피부가 바르기 좋은 수분크림으로 몇 개 추천 좀 해주세요.,상품 추천
s,"네, 민감성 피부가 바르기 좋은 수분크림으로 몇 가지 추천해드리겠습니다.",상품 추천
c,노와이어 브래지어만 보여주세요.,상품 추천
s,"네, 노와이어 브래지어만 보여 드리겠습니다.",상품 추천
c,베이지색 계열로 파우치랑 폰만 넣을 수 있는 핸드백 추천해주시겠어요?,상품 추천
s,"네, 잠시만 기다려주세요.",상품 추천
c,고보습 기능이 있는 수면팩을 추천해주시겠어요?,상품 추천
s,고보습 기능 제품으로 몇 개 보여드릴게요.,상품 추천
c,얇은 가디건 새로 들어온거 추천해주세요.,상품 추천
s,"네, 새로 들어온 얇은 가디건 추천해드리겠습니다.",상품 추천
c,조금 빈티지한 시계 디자인을 추천해주세요.,상품 추천
s,네. 이 브랜드가 빈티지 디자인이 많습니다.,상품 추천
c,특이한 디자인의 목걸이 있을까요?,상품 추천
s,반대편에 많이 진열되어 있습니다.,상품 추천
c,탈모 전용인 샴푸로 추천 부탁해요.,상품 추천
s,"네, 탈모 전용인 샴푸로 추천 해드리겠습니다.",상품 추천
c,중학생 아들이 축구할 때 입을 쇼츠 좀 골라주세요.,상품 추천
s,"네, 축국용 쇼츠로 몇가지 골라드릴게요.",상품 추천
c,프로포즈용 반지가 필요해서 그러는데 추천해주시겠어요?,상품 추천
s,이쪽에서 잘 나가는 반지로 보여드리겠습니다.,상품 추천
c,스웨터 부드러운 걸로 보여주세요.,상품 추천
s,"네, 부드러운 스웨터 보여드릴게요.",상품 추천
c,인기있는 코트 좀 추천해주시겠어요?,상품 추천
s,"네, 앞에 진열되어있는 상품이 가장 인기있는 코트입니다.",상품 추천
c,겨울철에도 따뜻하게 입을 수 있는 수트 좀 알려 주실래요?,상품 추천
s,"네, 따뜻한 수트로 보여드릴게요.",상품 추천
c,30대 하객룩으로 봄에 입을 만한 블라우스가 뭐가 있나요?,상품 추천
s,러브 블라우스를 보여드릴게요.,상품 추천
c,이 청자켓이랑 어울리는 바지 추천 부탁드립니다.,상품 추천
s,바지코너에 가시면 추천드릴 바지 많이 있어요.,상품 추천
c,비듬이 많은 사람이 쓸만한 샴푸로 추천해 주십시오.,상품 추천
s,"네, 원하시는 샴푸로 추천해 드릴게요.",상품 추천
c,오래 서 있는 직업인데 착화감이 좋은 신발로 보여 주세요.,상품 추천
s,"네, 오래 서 계시는 서비스직 분들이 이 단화를 많이 찾으세요.",상품 추천
c,편하고 가벼운 티셔츠 보여주세요.,상품 추천
s,"네, 편하고 가벼운 티셔츠 보여드리겠습니다. ",상품 추천
c,겨울철에도 따뜻하게 입을 수 있는 수트 추천해주시겠어요?,상품 추천
s,"네, 따뜻한 수트 추천해드리겠습니다.",상품 추천
c,제 피부와 잘 어울리는 톤을 가진 립스틱으로 골라 주세요.,상품 추천
s,"네, 잘 어울리는 상품으로 보여 드릴게요.",상품 추천
c,단체 여행 갈 때 입기 좋은 캐주얼 의상 추천해 주세요.,상품 추천
s,맨투맨이나 후드집업 티셔츠 등이 있어요.,상품 추천
c,촉촉함이 오래 지속되는 립밤 괜찮은 거 있으면 소개해 주시겠어요?,상품 추천
s,"네, 이 제품이 촉촉함이 오래 지속되는 립밤입니다.",상품 추천
c,제 체형에 맞는 브라를 찾고 있어요.,상품 추천
s,보통 3/4컵 브라가 무난해요.,상품 추천
c,파우더 제품 중 기름기 없애주는 걸로 추천해주세요.,상품 추천
s,"네, 파우더는 매장 안쪽에 있습니다.",상품 추천
c,편하게 입을 수 있는후리스 추천해주세요.,상품 추천
s,저렴한 제품은 이쪽에 있습니다.,상품 추천
c,결혼식에 어울리는 원피스 추천해주시겠어요?,상품 추천
s,"네, 결혼식에는 이 원피스가 잘어울립니다.",상품 추천
c,남자들 겨울에 입을 수 있는 셔츠 추천해 주실거있나요?,상품 추천
s,신상품인데 이거 봐보세요.,상품 추천
c,추천 좀요스판끼 많아요?,상품 추천
s,저희 25 - 26 입으시는 분들께 S사이즈 안내해드리고 있습니다,상품 추천
c,연말 파티룩으로 입을만한 미니 원피스가 뭐가 있을까요?,상품 추천
s,미니 벌룬 핀턱 원피스가 인기가 많습니다.,상품 추천
c,요즘 입기 좋은 화사한 원피스는 어떤 거예요?,상품 추천
s,이 상품으로 추천합니다.,상품 추천
c,집에서 쉽게 염색할 수 있는 염색약 좀 소개해 주세요.,상품 추천
s,이 상품이 집에서 쉽게 염색하기에 좋은 제품입니다.,상품 추천
c,남자 회색 코트에 어떤 목도리가 어울릴까요?,상품 추천
s,코튼 머플러가 클래식한 멋이 있어서 추천드립니다.,상품 추천
c,겨울에 따뜻하게 입을 수 있는 바지 추천해 주세요.,상품 추천
s,기모 소재의 바지를 추천해 드립니다.,상품 추천
c,판도라 팔찌 조합 추천해 주세요.,상품 추천
s,요즘은 이런 조합으로 구성해서 많이들 하시는 편이에요.,상품 추천
c,요즘같은 겨울 시즌에 잘 팔리는 립스틱 소개해 주세요.,상품 추천
s,이 상품이 겨울 시즌에 잘 팔리는 립스틱입니다.,상품 추천
c,지금 제 옷이랑 어울리는 귀걸이 좀 추천해주세요.,상품 추천
s,이 귀걸이가 어울리거 같네요.,상품 추천
c,요즘 날씨에 입기 좋은 상의 추천해주세요.,상품 추천
s,요즘 날씨에 입기 좋은 상의 몇가지 추천해드리겠습니다.,상품 추천
c,가벼운 향의 향수 좀 보여주세요.,상품 추천
s,이 상품이 조금 가벼운 향입니다.,상품 추천
c,복숭아 향이 나는 향수 있으면 추천해 주실래요?,상품 추천
s,복숭아 향이 나는 랑방 에끌라 드 아르페쥬를 추천합니다.,상품 추천
c,향이 강하지 않은 로션을 찾고 있는데 소개해 주시겠어요?,상품 추천
s,이 상품이 은은한 향을 갖고 있습니다.,상품 추천
c,스포츠브라 뒤에가 엑스선으로 된 것 좀 골라주세요.,상품 추천
s,"네, 이 쪽 브라가 엑스선 브라에요.",상품 추천
c,휴가철 비치웨어와 어울리는 신발 추천해주세요.,상품 추천
s,구름 슬리퍼나 쪼리가 있어요.,상품 추천
c,골프바지 좀 편한 걸로 보여주세요.,상품 추천
s,"네, 골프바지 편한 걸로 보여드리겠습니다. ",상품 추천
c,하객룩으로 좋은 원피스 추천해주세요.,상품 추천
s,이게 하객룩에 좋습니다.,상품 추천
c,귀걸이 중에 가장 잘 나가는 귀걸이를 추천해 주실 수 있을까요?,상품 추천
s,요즘은 다즐링 귀걸이가 잘 나가죠.,상품 추천
c,겨울에 쓰기 괜찮은 수분크림 좀 추천 부탁드리겠습니다.,상품 추천
s,이번 겨울에 새로 출시된 수분크림이 좋아요.,상품 추천
c,남녀공용으로 쓸만한 썬크림 제품 좀 소개해 주세요.,상품 추천
s,남녀공용으로 쓰기 괜찮은 썬크림은 이 상품입니다.,상품 추천
c,이 팬츠와 어울리는 자켓 좀 골라주세요.,상품 추천
s,"네, 이 자켓이 잘 어울립니다.",상품 추천
c,임산부가 신을 수 있는 신발 추천해주세요.,상품 추천
s,주로 컴포트화나 운동화를 많이 구매하십니다.,상품 추천
c,오휘 제품으로 발색 좋은 립스틱 추천 부탁드립니다.,상품 추천
s,더퍼스트제 라인이 발색이 좋아요.,상품 추천
c,"현재 수아팜 제품 75A, 90호 착용하고 있는데 여기 제품 사이즈 추천 가능한지요?",상품 추천
s,3단계 몰드 브라 80 사이즈에 팬티는 95호 입히시면 편하게 맞을 듯합니다.,상품 추천
c,팔뚝 커버되는 티셔츠 하나만 추천해주세요.,상품 추천
s,"네, 팔뚝 커버되는 티셔츠로는 이 상품이 좋아요.",상품 추천
c,특이한 디자인의 목걸이 구하고 싶어요.,상품 추천
s,이쪽으로 오시면 많이 있습니다.,상품 추천
c,중요한 행사가 있어서요 조금 단아한 스타일로 골라주세요,상품 추천
s,네. 조금 차분한 분위기의 옷으로 추천해드릴게요,상품 추천
c,고등학생이 사용하기 좋은 시계를 추천받을 수 있을까요?,상품 추천
s,네. 이쪽에 학생 분들에게 인기 많은 상품들이 있습니다.,상품 추천
c,데일리로 할 만한 심플한 디자인의 목걸이를 추천해주실 수 있을까요?,상품 추천
s,"네, 고객님께 어울릴 만한 심플앤시크 목걸이를 추천해 드려요.",상품 추천
c,눈시림 덜한 선크림 추천 좀 해 주시겠어요?,상품 추천
s,이 제품이 눈시림 없고 괜찮아요.,상품 추천
c,요즘 유행하는 립 색깔은 어떤 색인지 추천해 주실 수 있나요?,상품 추천
s,제가 들고 있는 립이 요즘 가장 인기가 좋은 색입니다.,상품 추천
c,코오롱 스포츠에서 나온 롱 다운으로 추천해 주실래요?,상품 추천
s,"네, 해당 브랜드 제품으로 소개해드릴게요.",상품 추천
c,봄에 어울리는 원피스로 골라주시면 안 돼요?,상품 추천
s,"네, 화사한 디자인으로 보여드릴게요.",상품 추천
c,"목도리 빨간색, 파란색 중 골라주세요.",상품 추천
s,저는 빨간색이 예뻐보여요.,상품 추천
c,겨울용 여자 모자 추천 좀 해 주세요.,상품 추천
s,추울 때는 이런 제품이 인기가 좋아요.,상품 추천
c,드라이빙슈즈 몇 가지 좀 추천해주실래요?,상품 추천
s,드라이빙슈즈 이 쪽으로 오세요.,상품 추천
c,남자 셔츠 선물할건데 추천해주세요.,상품 추천
s,"네, 남자 셔츠 많이 판매되는 제품 추천드리겠습니다.",상품 추천
c,오래 유지되는 괜찮은 매니큐어 있으면 좀 보여주세요.,상품 추천
s,이 상품이 오래 유지되고 괜찮은 것 같습니다.,상품 추천
c,라운딩자켓 색상 화사한 걸로 몇 개 좀 보여주세요.,상품 추천
s,"네, 화사한 색상으로 보여드리겠습니다. ",상품 추천
c,휴대성 좋은 향수 좀 추천해주세요.,상품 추천
s,썸유 포켓 섬유 향수를 추천해드립니다.,상품 추천
c,면접보기 전에 바르면 좋은 매니큐어 좀 추천해주세요.,상품 추천
s,면접 전에 바르시기에는 이 상품이 괜찮습니다.,상품 추천
c,초등학생 입학 선물로 괜찮은 백팩 좀 추천해주실래요?,상품 추천
s,"네, 초등학생한테 괜찮은 걸로 추천드릴게요.",상품 추천
c,체인이 두꺼운 팔찌로 골라 주실래요?,상품 추천
s,체인이 두꺼운 팔찌로 골라 드리겠습니다.,상품 추천
c,가장 괜찮은 선크림으로 하나만 추천해 주시기 바랍니다.,상품 추천
s,"잠시만요, 제일 잘 팔리는 상품으로 안내해 드릴게요.",상품 추천
c,강한 색조 지우는데 좋은 제품 추천해 주세요.,상품 추천
s,클렌징워터 추천해 드릴게요.,상품 추천
c,수분감 많고 발색 좋은 립밤 좀 알려주세요.,상품 추천
s,발색 좋고 수분감 많은 립밤은 이쪽에 있는 것이 전부예요.,상품 추천
c,웨딩 링 중에 가장 흔하지 않은 디자인 제안해주실래요?,상품 추천
s,"네, 흔하지 않은 웨딩 링 제안해드릴게요.",상품 추천
c,클렌징 워터랑 함께 쓸 수 있는 화장솜을 추천해 주세요.,상품 추천
s,"네, 괜찮은 화장솜을 소개해 드릴게요.",상품 추천
c,제가 피부가 약해서 천연소재를 입어야 하는데 거기에 맞는 속옷 좀 추천해 주실래요?,상품 추천
s,"네, 뱀부소재가 피부에 순한 소재라 이 소재로 만들어진 제품 추천해 드릴게요.",상품 추천
c,제일 인기가 많은 아이라이너 추천해 주실 수 있나요?,상품 추천
s,네. 제일 인기 있는 제품으로 몇 가지 보여드릴게요.,상품 추천
c,여기 저기 코디하기 좋은 기본 블라우스 좀 보여주세요.,상품 추천
s,"네, 기본 블라우스 보여드릴게요.",상품 추천
c,50대 여자분께 드릴 선물 좀 골라주시겠어요?,상품 추천
s,링클토탈케어크림 선물하시기 좋아요.,상품 추천
c,오래 번지지 않는 마스카라 제품 하나 소개해 주세요.,상품 추천
s,이 마스카라가 번지지 않고 촉촉함이 오래 지속됩니다.,상품 추천
c,봄에 입을 수 있는 원피스 보여주실래요?,상품 추천
s,"네, 이쪽에서 추천해드릴게요.",상품 추천
c,선크림 순한 거 추천해줄래요?,상품 추천
s,닥터지에서 나온 마일드 제품이 되게 순해요.,상품 추천
c,추천받고 싶은데 신생아용 모자 중에서 골라 주세요.,상품 추천
s,추천해 드릴 상품은 방울 달린 모자입니다.,상품 추천
c,어떤 에센스가 좋은지 추천받을 수 있을까요?,상품 추천
s,제니피끄 에센스를 강력 추천드리고 싶어요.,상품 추천
c,주름 개선에 좋은 제품으로 보여 주세요.,상품 추천
s,이 제품이 주름 개선에 좋습니다.,상품 추천
